open,close,low,high,vol00,sdate
805.649,923.888,751.501,993.795,68129.19,210520
923.982,923.425,829.946,1030.797,58683.6,210521
923.91,839.145,787.463,930.016,62601.25,210522
839.118,669.832,586.75,890.23,40559.55,210523
670.274,749.649,657.628,790.785,46888.48,210524
781.072,755.279,718.497,837.897,41855.78,210525
755.792,799.328,734.941,838.955,40891.71,210526
800.724,832.262,758.142,902.824,70393.02,210527
832.074,823.833,796.43,864.43,65273.13,210528
823.779,754.252,742.24,843.513,67943.43,210529
754.836,790.385,723.319,820.072,81779.6,210530
790.672,813.414,743.913,834.556,62678.61,210531
813.56,787.867,747.168,835.469,51720.05,210601
787.545,765.178,743.51,810.727,46904.93,210602
764.949,794.127,741.527,796.344,47645.52,210603
793.7,765.993,720.669,796.355,51309.36,210604
765.854,705.888,688.42,771.18,61391.14,210605
706.122,722.859,695.809,804.872,61069.41,210606
722.867,672.62,672.384,743.353,66645.29,210607
672.568,631.227,594.331,692.107,47861.83,210608
632.15,648.272,599.843,661.92,65567.91,210609
649.493,606.992,591.131,654.643,61337.95,210610
606.777,615.641,595.342,652.119,71611.08,210611
618.611,595.781,577.704,631.647,50706.86,210612
595.899,699.082,582.154,707.673,68156.31,210613
699.446,706.812,677.129,731.603,65045.71,210614
705.831,714.775,681.271,723.817,80357.62,210615
702.552,621.75,621.615,712.166,44523.02,210616
622.311,644.207,608.537,653.118,63351.68,210617
644.818,620.799,596.988,663.389,50401.25,210618
620.724,624.775,588.823,640.266,59472.29,210619
625.177,588.126,577.349,654.641,59891.15,210620
587.798,516.326,496.426,596.069,54292.88,210621
516.514,483.854,450.209,516.514,45614.96,210622
483.85,503.57,479.685,535.266,45825.01,210623
525.71,502.555,491.638,531.506,48627.27,210624
502.508,492.559,465.586,519.328,46216.84,210625
492.465,573.42,487.282,637.027,46910.55,210626
573.535,590.523,552.418,606.685,47329.53,210627
590.72,645.298,567.397,903.369,87571.58,210628
645.305,655.61,626.496,678.396,45558.08,210629
654.313,635.65,618.499,662.561,62855.85,210630
635.953,672.013,618.868,678.727,70831.22,210701
672.031,725.62,615.677,739.06,80003.76,210702
725.734,883.679,708.173,984.697,131495.64,210703
885.598,770.866,755.021,886.901,91436.45,210704
770.87,799.639,734.647,818.613,80073.64,210705
799.214,762.638,751.924,808.492,77505.63,210706
762.646,767.436,750.312,788.138,65150.88,210707
767.902,720.478,697.524,772.672,74327.91,210708
720.365,718.672,670.332,735.112,78466.61,210709
718.399,700.858,681.258,736.01,64560.98,210710
701.441,715.93,685.723,812.317,78087.52,210711
715.963,692.177,671.095,725.671,49988.15,210712
691.987,658.231,654.891,700.44,79414.78,210713
658.174,660.608,641.205,683.32,77332.93,210714
660.581,601.189,595.925,666.71,66757.23,210715
601.363,591.318,590.51,645.059,53991.6,210716
591.926,663.744,590.275,702.48,63157.06,210717
663.75,668.875,634.237,691.639,50325.66,210718
668.859,630.659,609.92,669.965,41391.41,210719
630.622,612.498,590.065,637.601,52368.03,210720
612.646,641.09,601.322,655.147,48860.57,210721
641.49,636.013,607.595,651.985,39714.45,210722
624.719,626.491,596.527,644.594,42894.85,210723
626.774,626.102,608.126,637.203,46056.7,210724
626.132,623.827,610.717,636.592,21833.41,210725
623.383,623.057,612.551,659.922,43532.5,210726
622.098,603.329,592.128,634.424,1267.27,210727
605.978,629.101,605.056,637.939,2362.72,210728
628.786,613.817,594.242,662.131,3086.14,210729
613.158,678.304,594.006,678.304,3908.43,210730
617.745,604.79,581.838,677.962,3241.19,210731
604.238,575.912,569.685,622.36,3711.86,210801
