open,close,low,high,vol00,sdate
28693,28580,28571,28740,3623.45,051228
28721,28481,28463,28721,5181.32,051229
28417,28303,28257,28417,4679.23,051230
28355,28650,28257,28721,13785.47,060103
28667,28935,28667,28962,24215.38,060104
29240,28863,28811,29240,14134.05,060105
28980,29050,28900,29114,8684.87,060106
29141,29184,29050,29212,6979.05,060109
29399,29079,28980,29399,9227.3,060110
28990,29007,28944,29124,11382.54,060111
28917,28980,28917,29050,6140.7,060112
29542,28962,28811,29542,9845.97,060113
28757,28882,28757,28909,11921.63,060117
28909,28926,28839,28990,13605.02,060118
29095,29079,28829,29184,31364.78,060119
29087,28524,28515,29087,34414.37,060120
28571,28507,28382,28589,12160.4,060123
28444,28373,28311,28515,13154.48,060124
28463,28337,28231,28524,15973.2,060125
28409,28481,28400,28589,13687.99,060126
28515,28811,28515,28856,13770.92,060127
28900,28677,28650,28990,10957.74,060130
28205,28667,28205,28740,26566.74,060131
28811,28848,28740,28935,16505.6,060201
28944,28615,28543,28944,10092.53,060202
28571,28561,28425,28702,9228.45,060203
28454,28303,28214,28463,10364.91,060206
28328,28257,28195,28435,14890.58,060207
28222,28623,28115,28623,17235.22,060208
28623,28650,28623,28863,16720.79,060209
28481,28589,28347,28597,9102.91,060210
28571,28552,28409,28580,7224.49,060213
29141,28829,28597,29141,10090.3,060214
28829,28998,28782,29034,10921.91,060215
29007,29184,28926,29202,13014.4,060216
29025,29168,29016,29194,8475.27,060217
29212,29016,28953,29276,7764.68,060221
28971,29266,28971,29303,7193.08,060222
29194,29158,29069,29266,8863.06,060223
29141,29158,29050,29230,7463.22,060224
29175,29381,29175,29470,17351.79,060227
29266,28998,28917,29266,10229.27,060228
28962,29025,28829,29060,14790.82,060301
28998,28971,28872,29025,8488.73,060302
28882,28872,28848,29141,8915.7,060303
28872,28721,28641,28891,10693.3,060306
28641,28730,28641,28872,13945.77,060307
28667,28926,28667,29025,5501.88,060308
28998,28829,28801,29007,4275.72,060309
28900,28935,28829,28990,7023.86,060310
29114,28917,28863,29114,8539.17,060313
28917,29124,28872,29132,9733.92,060314
29184,29221,29050,29249,8170.41,060315
29221,29221,29158,29284,9134.28,060316
29221,29194,29141,29257,4429.31,060317
29240,29249,29132,29311,8358.7,060320
29202,29069,28962,29284,14910.75,060321
29105,29363,29095,29373,6270.72,060322
29266,29202,29050,29266,19139.41,060323
29087,29158,29087,29257,5217.16,060324
29079,28935,28900,29095,8728.53,060327
28766,28667,28641,28891,11361.25,060328
28848,28748,28667,28848,5640.84,060329
28677,28693,28615,28909,7735.58,060330
28659,28533,28507,28757,10039.89,060331
28641,28515,28507,28721,26697.91,060403
28597,28552,28409,28623,28231.08,060404
28435,28463,28417,28589,21393.26,060405
28435,28248,28115,28435,24839.64,060406
28321,27909,27883,28364,20544.84,060407
27928,27856,27677,27928,21156.78,060410
27865,27552,27418,27865,25702.64,060411
27571,27741,27534,27741,47268.52,060412
27588,27677,27562,27722,19779.37,060413
27686,27517,27418,27686,17051.39,060417
27640,27775,27552,27793,85756.92,060418
27758,27616,27507,27758,15756.95,060419
27669,27865,27616,27901,39181.04,060420
28026,27801,27686,28026,13089.47,060421
27375,27696,27375,27749,18153.12,060424
27669,27525,27437,27696,30752.82,060425
27499,27525,27428,27659,24570.68,060426
27437,27375,27284,27525,50096.25,060427
27375,27650,27375,27659,27971.09,060428
27597,27409,27399,27686,11416.17,060501
27445,27409,27339,27507,8868.66,060502
27266,27108,27089,27348,24691.71,060503
27928,27196,27108,27928,16540.31,060504
27329,27464,27250,27507,13337.16,060505
27399,27455,27391,27499,34641.93,060508
27384,27256,27223,27445,35611.34,060509
27223,27233,27214,27356,25561.42,060510
27256,27177,27125,27348,18163.24,060511
27108,27118,27089,27266,15759.19,060512
27177,27499,27125,27499,25205.03,060515
27482,27571,27464,27659,20265.78,060516
27474,27284,27266,27669,37654.53,060517
27329,27169,27150,27339,14441.12,060518
27206,27014,26884,27206,12228.73,060519
26909,26901,26894,27142,9787.69,060522
26989,26776,26776,27014,25511.01,060523
26821,26858,26582,26937,19116.98,060524
27043,27108,26928,27142,5951.28,060525
27206,27256,27118,27310,21695.89,060526
27071,26901,26850,27142,16182.8,060530
26937,27071,26894,27089,13124.24,060531
27187,27455,27125,27464,9820.22,060601
27579,27562,27399,27597,10868.12,060602
27437,27133,27118,27474,9842.64,060605
27187,27177,27033,27301,33929.1,060606
27256,27301,27196,27543,16374.47,060607
27329,27348,27033,27428,24649.11,060608
27223,27150,27150,27366,8870.92,060609
27160,26876,26876,27250,8560.44,060612
26901,26803,26784,27099,11985.53,060613
26713,26850,26713,26909,11465.49,060614
26884,27177,26840,27293,10933.12,060615
27052,27043,26997,27196,9000.92,060616
27080,26840,26757,27133,10734.76,060619
26876,26739,26705,26876,5313.59,060620
26722,26876,26722,26989,5221.68,060621
26909,26722,26642,26909,4172.63,060622
26652,26747,26590,26876,21779.96,060623
26739,26652,26572,26766,8451.74,060626
26563,26374,26313,26652,7548.39,060627
26446,26374,26258,26526,5397.63,060628
26600,26831,26526,26866,7087.77,060629
26858,26981,26850,27125,14709.02,060630
26973,27033,26955,27089,3516.96,060703
26989,27007,26909,27024,12250.02,060705
26937,27108,26937,27223,10509.46,060706
27033,27133,27033,27241,7840.91,060707
27241,27233,27177,27339,18404.16,060710
27275,27293,27169,27348,17402.21,060711
27339,27196,27142,27391,7592.1,060712
27043,26909,26858,27125,8839.54,060713
26909,26739,26634,27007,14790.82,060714
26705,26850,26705,26964,4848.45,060717
26831,26850,26642,26955,7722.1,060718
26937,27482,26937,27579,19152.85,060719
27579,27507,27507,27696,12246.66,060720
27543,27634,27482,27686,7220.02,060721
27793,28167,27793,28222,20819.46,060724
28034,28409,28034,28490,26519.68,060725
28463,28543,28311,28589,21045.83,060726
28400,28400,28214,28417,21513.18,060727
28463,28552,28392,28641,20364.42,060728
28571,28454,28400,28571,5190.29,060731
28444,28454,28303,28515,34911.99,060801
28641,28632,28580,28792,7102.3,060802
28417,28382,28321,28589,22789.77,060803
28507,28392,28337,28543,10083.58,060804
28337,28303,28265,28409,7069.84,060807
28337,28294,28231,28435,11439.71,060808
28490,28321,28303,28597,8290.33,060809
28142,28294,28142,28373,7621.25,060810
28231,28159,28060,28265,5112.99,060811
28265,28222,28195,28444,4580.59,060814
28435,28463,28347,28498,7300.7,060815
28552,28711,28543,28711,14464.67,060816
28685,28782,28685,28872,11188.65,060817
28730,28829,28659,28839,5434.63,060818
28801,28730,28685,28820,5255.3,060821
28659,28820,28623,28856,4216.31,060822
28848,28801,28740,28848,4729.65,060823
28962,28998,28917,29050,7858.85,060824
28953,29016,28891,29069,4419.19,060825
29042,29202,29007,29318,3754.59,060828
29240,29336,29202,29354,9479.5,060829
29390,29354,29318,29417,7685.12,060830
29354,29266,29221,29363,4213,060831
29266,29417,29266,29452,27667.32,060901
29399,29284,29284,29444,9030.05,060905
29303,29175,29105,29303,15444.23,060906
29050,28962,28935,29114,15900.39,060907
29034,29194,28980,29221,5253.04,060908
29194,29381,29087,29390,11397.15,060911
29470,29719,29452,29738,12217.53,060912
29738,29660,29585,29748,10150.82,060913
29578,29622,29507,29650,6247.18,060914
29668,29570,29570,29703,22006.34,060915
29570,29560,29507,29641,17480.64,060918
29570,29603,29452,29613,7777.05,060919
29622,29719,29603,29826,8034.81,060920
29738,29533,29489,29738,6419.77,060921
29444,29346,29293,29507,11439.71,060922
29444,29461,29276,29526,8917.95,060925
29461,29489,29381,29507,8677.01,060926
29526,29570,29346,29570,12040.44,060927
29570,29516,29425,29570,5198.14,060928
29686,29613,29498,29686,6453.37,060929
29516,29444,29417,29622,4743.1,061002
29425,29533,29390,29631,15871.24,061003
29498,29792,29461,29792,18243.91,061004
29694,29792,29631,29792,11715.41,061005
29871,29677,29585,29871,14925.31,061006
29668,29613,29526,29677,9042.35,061009
29660,29489,29346,29660,15187.58,061010
29399,29480,29336,29542,8256.72,061011
29480,29660,29470,29686,9981.57,061012
29570,29560,29452,29585,35232.54,061013
29480,29603,29444,29622,10868.12,061016
29622,29686,29498,29719,15560.78,061017
29792,30005,29766,30024,8469.67,061018
29989,29980,29980,30139,16004.61,061019
29998,30212,29936,30212,22274.19,061020
30113,30291,30033,30291,8660.21,061023
30195,30195,30024,30195,7724.36,061024
30204,30015,29909,30204,12793.59,061025
30086,30130,29899,30139,22598.12,061026
30033,30005,29936,30076,9303.49,061027
29890,29836,29826,29989,18575.66,061030
29845,29712,29641,29899,14923.04,061031
29668,29498,29461,29954,20927.03,061101
29408,29660,29408,29694,20149.22,061102
29712,29507,29480,29774,8237.66,061103
29622,29862,29498,29918,10052.19,061106
29826,30094,29826,30186,10734.76,061107
29729,29641,29507,29729,33456.12,061108
29507,28944,28801,29613,53532.51,061109
28882,28990,28782,29034,21457.18,061110
28839,29042,28839,29175,17969.3,061113
28917,29284,28891,29311,27210.08,061114
29240,29425,29194,29551,15869,061115
29417,29551,29417,29613,8981.87,061116
29470,29641,29470,29650,12084.16,061117
29641,29570,29507,29703,16301.65,061120
29641,29526,29461,29641,16922.52,061121
29498,29585,29461,29613,13617.38,061122
29452,29461,29425,29516,1330.36,061124
29390,29266,29168,29425,16956.14,061127
29212,29328,29212,29399,15569.78,061128
29381,29533,29363,29551,12751.01,061129
29578,29677,29560,29766,13397.66,061130
29712,29650,29470,29766,9340.53,061201
29346,29507,29346,29570,18060.11,061204
29560,29622,29470,29668,11309.73,061205
29595,29668,29461,29694,18376.16,061206
29677,29603,29585,29826,6780.66,061207
29578,29660,29461,29729,9275.49,061208
29712,29719,29613,29766,3910.37,061211
29729,29729,29578,29729,12035.95,061212
29712,29668,29641,29836,8071.8,061213
29819,29819,29719,29972,12056.12,061214
29712,29810,29686,29871,7950.78,061215
29871,29871,29801,29954,21337.24,061218
29801,30024,29801,30067,17989.52,061219
30149,30041,29980,30149,15119.22,061220
29998,29963,29909,30104,5590.42,061221
30015,29836,29756,30015,3082.12,061222
29801,29853,29748,29862,4849.56,061226
29954,29998,29944,30024,9165.65,061227
29998,29963,29899,30059,3156.1,061228
29836,29881,29738,30015,3540.51,061229
30067,29890,29748,30204,20242.24,070103
